"Media"; 4; "Eine große Story aufgedeckt, die dir ein paar Feinde und etwas Kohle eingebracht hat" 200; 300; 600
"Media"; 5; "Keine guten Stories oder Aufmacher diese Woche"; 0; 100; 300
"Media"; 6; "Exposé geschrieben, das ein wichtiges Thema aufgedeckt hat"; 300; 500; 800
"Lawman"; 1; "Ein paar Verhaftungen wegen Kleinigkeiten vorgenommen. Das Übliche"; 100; 200; 500
"Lawman"; 2; "Belohnung von einem dankbaren Bürger erhalten. Oder war es Bestechung?"; 200; 300; 600
"Lawman"; 3; "Die Verhaftung ist schiefgegangen und du musstest aus eigener Tasche dafür zahlen"; 0; 100; 300
"Lawman"; 4; "Nicht viel passiert diese Woche. Scheck eingesackt, das wars"; 100; 200; 500
"Lawman"; 5; "Große Fische im Drogen- oder Schmuggelgeschäft festgenommen und einen fetten Bonus vom Boss bekommen"; 200; 300; 600
"Lawman"; 6; "Eine große Gang gesprengt und einen Bonus aus der 'privaten Beschlagnahmung' erhalten"; 200; 300; 600
"Corp"; 1; "Einen moderaten Erfolg bei einem Projekt gelandet, Bonuszahlung erhalten"; 300; 500; 800
"Corp"; 2; "Nicht viel passiert, der Konzern war nicht beeindruckt. Einen Bonus verloren"; 0; 100; 300
"Corp"; 3; "Scheck erhalten, das wars"; 200; 300; 600
"Corp"; 4; "Einen Rivalen angeschwärzt und dafür einen Bonus kassiert"; 300; 500; 800
"Corp"; 5; "Erfolg bei einem großen Projekt gehabt und vom Hauptbüro einen Bonus erhalten"; 300; 500; 800
"Corp"; 6; "Ein legitimes Ziel ausgeschaltet, das eine Arbeitsstelle bedroht und deren Finanzen gestohlen hat"; 200; 300; 600
"Fixer"; 1; "Für ein gutes Bestechungsgeld einem Media ein paar Informationen besorgt"; 200; 300; 600
"Fixer"; 2; "Einem Rockster für dein Honorar von 12% einen guten Auftritt verschafft"; 200; 300; 600
"Fixer"; 3; "Einem Klienten geholfen, einen begehrten Gegenstand zu besorgen und einen Anteil kassiert"; 200; 300; 600
"Fixer"; 4; "Deal schiefgegangen. Du hältst den Kopf unten bis Gras über die Sache gewachsen ist"; 0; 100; 300
"Fixer"; 5; "Einem Solo oder Netrunner einen profitablen Job besorgt und deine Vermittlungsgebühr kassiert"; 200; 300; 600
"Fixer"; 6; "Für einen Klienten einen seltenen, illegalen oder schwer zu bekommenden Gegenstand besorgt"; 300; 500; 800
"Nomad"; 1; "Saubere Lieferung erledigt"; 100; 200; 500
"Nomad"; 2; "Lieferung beschützt"; 100; 200; 500
"Nomad"; 3; "Ein bißchen was geschmuggelt"; 100; 200; 500
"Nomad"; 4; "Große Lieferung geschmuggelt"; 200; 300; 600
"Nomad"; 5; "Einen Klienten sicher zum Zielort gebracht"; 100; 200; 500
"Nomad"; 6; "Konntest diese Woche keine Arbeit finden, egal ob sauber oder sonstwie"; 0; 100; 300
